title,authors,date,first_p
"After a pandemic semester, we shouldn’t have the added stress of finals",Rob Zintl and Julia Haudenschield,2021-12-03T07:41:00Z,"the stresses of in-person learning during a pandemic warrant making finals optional for this semester, if not canceling them, argue guest columnists rob zintl po ’23 and julia haudenschield sc ’23."
"Mudders, 5C clubs want you",Serena Mao,2021-12-03T06:25:00Z,"mudders shouldn’t be afraid to join 5c clubs, so that they can fully reap the benefits of the consortium, argues serena mao hm ’25."
The 5Cs must take an active role in water conservation,Willa Frank,2021-12-03T06:22:00Z,"california’s ongoing drought demands more active measures to conserve water from 5c colleges and their students, argues willa frank po ’25."
The 7Cs should incorporate sustainability throughout their curricula,Luciénne Reyes,2021-12-03T06:14:00Z,"the 7cs should implement a petition from claremont climate initiative to incorporate discussions of sustainability into their classes as much as possible, argues luciénne reyes pz ’24."
Registering for classes shouldn’t be so hard,Kenny Le,2021-12-03T06:06:00Z,"the 5cs have a responsibility to fix the technical and accessibility issues that students experienced during recent course registration, argues kenny le pz ’25."
The not-so-glamorous truth of being an international student at CMC,Bertha Tobias,2021-12-03T05:20:00Z,"cmc needs to stop neglecting and dismissing international students’ needs, and work towards addressing them, argues guest columnist bertha tobias cm ’24."
Sibling rivalry should not define your life,Mishaal Ijaz,2021-12-03T04:53:00Z,"don’t compete with your siblings, instead learn to be proud of their achievements and to define your own success, argues mishaal ijaz sc ’24."
DIVERSITY & INCLUSION EDITORS: Our progress on newsroom diversity & inclusion,Anushe Engineer and Caelan Reeves,2021-11-19T09:48:00Z,"as the student life works to serve the 7c community with integrity, the process of fostering accessibility needs to start within our own newsroom. that’s why we’re serving as tsl’s first-ever diversity & inclusion editors."
The issues with excluding allies and straight-passing queer people from queggers,Porter Reyes,2021-11-19T07:27:00Z,"advertising and policing ‘queggers’ as queer-only parties excludes straight identifying, questioning and closeted students, which can complicate lgbtq+ students’ experiences at them, argues porter reyes po ’25."
‘Did I peak in high school?’ Let’s talk about impostor syndrome,Shay Suresh,2021-11-19T07:10:00Z,"addressing impostor syndrome with positive affirmations and reassuring conversations can avoid serious mental health consequences, argues shay suresh cm ’24."
Martin Scorsese is right — the film industry is dying,Sae Furukawa,2021-11-19T07:02:00Z,"the formulaic and unoriginal nature of today’s big-name film franchises suggests hollywood is losing the ability to produce truly memorable and unique movies, writes sae furukawa po ’25."
Don’t lose yourself by saying ‘yes’,Serena Mao,2021-11-19T06:48:00Z,"set limits to your ‘niceness’ so you don’t diminish your individuality or overextend yourself at the cost of your own well being, argues serena mao hm ’25."
Don’t knock ASMR until you’ve tried it,Mishaal Ijaz,2021-11-19T05:15:00Z,"everyone should look beyond their pre-conceived notions and give asmr a try, writes mishaal ijaz sc ’24."
"Pomona College must divest from fossil fuels, but that’s not enough",Nicholas Black,2021-11-19T05:03:00Z,"pomona college must not only divest its endowment from fossil fuels, but ethically reinvest it through a transparent process that listens to student input, argues nicholas black po ’24."
APIDA face unique mental health issues,Kenny Le,2021-11-19T03:16:00Z,"we need more support and research targeted toward apida communities, who suffer from greater mental health stigma and bicultural stress, argues kenny le pz ’25."
The fragility of Roe v. Wade shows need for new abortion rights legislation,Abby Loiselle,2021-11-12T07:18:00Z,"with ever greater efforts by red states to restrict or outright ban abortion, pro-choice activists should refocus their efforts away from preserving roe v. wade and more on enshrining new protections into law, argues abby loiselle po ’23."
Eliminate the zero-sum game of quota grading,Serena Mao,2021-11-12T07:14:00Z,"quota grading fosters competition over collaboration and does not reward improvement, argues serena mao hm ’25."
DIII women’s sports deserve greater institutional support,Madison Lewis,2021-11-12T06:40:00Z,"colleges have a responsibility to provide institutional support to division iii women’s athletes to help them make up for disparities in donations and networking opportunities, argues madison lewis po ’23."
You don’t truly know your home until you’ve gotten lost in it,Willa Frank,2021-11-12T06:25:00Z,"allowing yourself to get lost in an unfamiliar place is a truly enlightening experience that everyone should have at least once, writes willa frank po ’25."
"Cats aren’t just cute, they’re beneficial for your health",Mishaal Ijaz,2021-11-12T06:20:00Z,"owning a cat has often underappreciated benefits for your mental health, writes mishaal ijaz sc ’24."
Support for Black students at Pitzer is long overdue,Luciénne Reyes,2021-11-12T06:12:00Z,"similarities between the 1968 and 2020 pitzer college black student union’s addresses are testament to the lack of development in support for black students, argues luciénne reyes pz ’24. "
Fighting for the climate means upholding Indigenous sovereignty,Ethan Vitaz,2021-11-05T05:25:00Z,"fighting climate change requires renewed focus on protecting indigenous peoples’ sovereignty, and a reckoning with how our colleges and other institutions may be invested in fossil fuel projects that threaten indigenous land rights, argues guest columnist ethan vitaz pz ’22."
"Don’t be fooled, your ‘baggage’ isn’t a burden",Shay Suresh,2021-11-05T04:51:00Z,"we should break the stigma around ‘oversharing’ and feel encouraged to share our real feelings with those we trust, argues shay suresh cm ’24."
California’s juvenile justice system needs a complete overhaul,Kenny Le,2021-11-05T04:45:00Z,"a proposal to raise the minimum age at which california juveniles can be tried as adults is only scratching the surface of the complete transformation the state’s juvenile justice system badly needs, argues kenny le pz ’25."
Mutual aid is the future of environmentalism,Nicholas Black,2021-11-05T04:40:00Z,"lack of action on the national level requires local communities to step up mutual aid efforts to protect the most vulnerable from the effects of climate change, argues nicholas black po ’24."
Stop brushing aside Big Pharma’s corporate greed and corruption,Sae Furukawa,2021-11-05T04:06:00Z,"our culture around science allows pharmaceutical companies to exploit us unquestioned, argues sae furukawa po ’25."
"Mudders, take charge of your honor code",Serena Mao,2021-11-05T03:11:00Z,"the harvey mudd honor code is under threat, and infractions may have a bigger impact than we realize, argues serena mao hm ’25."
Missing people you’ve never met is a valid experience,Mishaal Ijaz,2021-11-05T03:00:00Z,"grieving for someone you have never met is a valid and normal experience, argues mishaal ijaz sc ’24."
Yik Yak is the unspoken hero of the 5Cs,Porter Reyes,2021-10-29T06:55:00Z,"anonymous messaging app yik yak provides a crucial outlet for students to be honest about their problems and find support from their peers, writes porter reyes po ’25."
California can’t afford more spills — stop current and future offshore oil drilling,Kenny Le,2021-10-29T04:49:00Z,"the orange county oil spill provides further evidence that california must end all offshore oil drilling in the state, argues kenny le pz ’25."
5C students should reexamine their regional biases,Madison Lewis,2021-10-29T04:41:00Z,"some 5c students’ stereotyping of central and southern areas of the us as backward and intolerant is unfair and can blind us to persistent inequities where we live, argues madison lewis po ’23."
Highway 101 wildlife corridor could make LA County a beacon of conservation,Willa Frank,2021-10-29T04:28:00Z,"with construction set to begin next year on a wildlife corridor across highway 101, which will be the world’s largest, los angeles county marks a new standard for habitat conservation in the united states, writes willa frank po ’25."
Pomona College has failed in its handling of COVID-19,Abby Loiselle,2021-10-29T04:23:00Z,"pomona college’s handling of covid-19 cases on campus has been worrying, inefficient and endangering, argues abby loiselle po ’23."
Find the line between humorous self-deprecation and self-hatred,Mishaal Ijaz,2021-10-29T03:46:00Z,"limit your self deprecating humor to avoid affecting your self-esteem and self-perception, argues mishaal ijaz sc ’24."
We need more women-specific academic programs at the 5Cs,Yutong Niu,2021-10-29T03:36:00Z,"the claremont colleges must devote more resources to female students’ academic development and to programs that confront systemic challenges in academia, argues yutong niu po ’23."
"Harvey Mudd first-years need sleep, not 8 a.m. classes",Serena Mao,2021-10-29T03:34:00Z,"pushing back the start times of hmc core classes means students will be better rested and more productive, argues serena mao hm ’25."
Beware of student volunteerism that harms those it claims to help,Sae Furukawa,2021-10-15T04:47:00Z,"student-led volunteerism may be driven by the best of intentions, but must be cognizant of the risks that ill-prepared efforts can pose to the vulnerable people they aim to help, writes sae furukawa  po ’25."
The global supply chain is breaking down,Willa Frank,2021-10-15T04:20:00Z,"the breakdown of global supply chains requires us to reevaluate our consumption choices, argues willa frank po ’25."
Hate incident demonstrates problems of Pitzer’s culture of ‘white allyship’,Kenny Le,2021-10-15T04:11:00Z,"the reactions to a hateful comment recently reported at pitzer are a reminder that conversations about prejudice must start from a place of support for and centering of marginalized individuals’ voices, argues kenny le pz ’25."
5C students deserve better mental health resources,Nicholas Black,2021-10-15T04:04:00Z,"the 5cs must dedicate more resources to providing accessible and in-person mental health support for students, especially with the added stresses of a return to on-campus learning, argues nicholas black po ’24. "
‘Hamilton’ discrimination allegations raise questions about the real meaning of inclusivity,Caelan Reeves,2021-10-15T03:55:00Z,"recent allegations of severe discrimination against minorities on the set of the broadway musical ‘hamilton’ demonstrate that simply hiring a diverse group of people is not enough for a truly inclusive environment, argues guest columnist caelan reeves cm ’24."
"Appreciate, don’t appropriate other cultures",Shay Suresh,2021-10-15T02:39:00Z,"someone’s culture is not your accessory or prop; understand the context and significance to appreciate and not appropriate, argues shay suresh cm ’24. "
"First-years at Harvey Mudd, there’s no rush to date",Serena Mao,2021-10-15T02:28:00Z,"harvey mudd freshies should take their time to start dating, and first prioritize adjusting to college life and academics, argues serena mao hm ’25."
Don’t buy into the false allure of dieting products,Mishaal Ijaz,2021-10-15T02:20:00Z,"avoid diet plans and products that promote unhealthy habits, and instead prioritize your health, argues mishaal ijaz sc ’24."
It’s time to rethink cross-campus dining,Madison Lewis,2021-10-08T07:02:00Z,"cross-campus dining can be reopened while keeping covid-19 spread under control, argues madison lewis po ’24."
Save lives by keeping AB 988 alive,Porter Reyes,2021-10-08T05:01:00Z,"assembly bill 988 will save lives by providing funding for california’s mental health crisis response system, but we need to advocate for it now so it will pass, argues porter reyes po ’25."
Blame corporations rather than entry-level workers for unethical practices,Kenny Le,2021-10-08T04:55:00Z,"many students and other entry-level workers don’t have the luxury of choosing a job that precisely aligns with their ethical principles, argues kenny le pz ’25."
CMC trustees must divest from the Coastal GasLink pipeline,Luciénne Reyes,2021-10-08T04:48:00Z,"cmc trustees henry kravis and george roberts should end their connections to the cgl pipeline, which contributes to climate change and violates the sovereignty of the wet’suwet’en people, luciénne reyes pz ’24 writes."
You don’t need to buy a new iPhone every year,Mishaal Ijaz,2021-10-08T04:47:00Z,"resist the social pressure to buy a new iphone every year as it feeds into wasteful and consumerist behaviors, argues mishaal ijaz sc ’24."
Harvey Mudd should solicit student input on COVID-19 policies,Serena Mao,2021-10-08T04:40:00Z,"harvey mudd college needs to solicit more student opinion in the covid-19 policy making process, argues serena mao hm ’25."
It’s okay to not be happy back on campus,Abby Loiselle,2021-10-08T04:33:00Z,"a return to campus has brought new challenges coupled with romanticized expectations, says abby loiselle po ’23."
The Sheikh Jarrah protests reveal the ugly truth about social media censorship,Sae Furukawa,2021-10-01T06:03:00Z,"despite being considered an important tool for socio-political movements, social media is still plagued by prevalent power politics and censorship, argues sae furukawa po ’25."
Politicians shouldn’t be your idols,Nicholas Black,2021-10-01T05:41:00Z,"stop idolizing politicians, and hold them accountable for their actions, argues nicholas black po ’24."
"When it comes to academic teamwork, collaborate with caution",Serena Mao,2021-10-01T05:31:00Z,"while harvey mudd college’s approach of collaboration for school work has its benefits, beware of the often overlooked downsides, argues serena mao hm ’25."
Pausing Spectrum 10K isn’t enough to support the autistic community,Luciénne Reyes,2021-10-01T05:30:00Z,"the spectrum 10k study into biological influences on autism promotes harmful and disproven stigmas about autistic people and should be stopped altogether, argues luciénne reyes pz ’24."
"Faith is a choice, not an inheritance",Shay Suresh,2021-10-01T05:11:00Z,"the religion a person practices upon growing up should be their choice alone, writes shay suresh cm ’24."
Make an effort to pronounce people’s names correctly,Mishaal Ijaz,2021-10-01T05:04:00Z,"making a genuine effort to pronounce a person’s name correctly is a crucial sign of respect for their unique identity, writes mishaal ijaz sc ’24."
Financial literacy can’t fix socioeconomic inequality,Kenny Le,2021-10-01T04:54:00Z,"the emphasis on financial education as a strategy to reduce economic inequality is a false solution that blames poor people for situations often beyond their control, argues kenny le pz ’25."
Boredom is an essential form of self-care,Mishaal Ijaz,2021-09-24T05:31:00Z,"learning to appreciate boredom can improve our mental health and creativity, writes mishaal ijaz sc ’24."
Pomona should pull its weight in municipal organic recycling,Willa Frank,2021-09-24T05:27:00Z,"pomona college should take charge of its own food waste management instead of depending on the city of claremont’s overburdened compost system, argues willa frank po ’25."
We should get more bang for our (flex) bucks,Porter Reyes,2021-09-24T05:20:00Z,"pomona college should expand students’ ability to use flex bucks for essentials other than food, argues porter reyes po ’25."
It takes more than word policing to fight prejudice,Kenny Le,2021-09-24T05:10:00Z,"preventing others from using words that most people don’t find offensive is not an effective way to fight discrimination, writes kenny le pz ’25."
The 5Cs must prioritize athletes’ mental health,Abby Loiselle,2021-09-24T05:04:00Z,"the 5cs must regard mental health among athletes as equally important as physical health, argues abby loiselle po ’23."
California recall election shows that voting in college doesn’t have to be a hassle,Madison Lewis,2021-09-24T04:57:00Z,"the california gubernatorial recall election demonstrates why vote by mail should be made more accessible and widespread, especially for students, argues madison lewis po ’23."
The 5Cs are responsible for promoting safe alcohol use on campus,Serena Mao,2021-09-24T04:49:00Z,"role models that students are exposed to upon entering college are crucial for the development of a culture of responsible drinking on campus, writes serena mao hm ’25."
Don’t scapegoat social media alone for poor mental health,Kenny Le,2021-09-17T05:48:00Z,"the alleged harm that social media poses to mental health is largely exaggerated, and we should learn how to use social media responsibly rather than reject it, argues kenny le pz ’25."
"Twenty years after 9/11, foreign terrorism isn’t America’s biggest threat",Sae Furukawa,2021-09-17T04:47:00Z,"america must step away from their preoccupation with 9/11 to address more pressing internal threats, argues sae furukawa po ’25."
The humanities are just as important as STEM,Mishaal Ijaz,2021-09-17T04:43:00Z,"the upheaval of the covid-19 pandemic demonstrates that the humanities are just as important as stem fields in building a healthy society, writes mishaal ijaz sc ’24."
Biden must keep his healthcare promise,Nicholas Black,2021-09-17T04:37:00Z,"voters must hold president biden to his campaign promise to pass a public option, so that america can finally achieve the goal of universal health coverage, writes nicholas black po ’24."
Flipped classrooms should have no place at the 5Cs,Serena Mao,2021-09-17T03:55:00Z,"flipped classrooms are a fad, hurting students more than they help, says serena mao hm ’25."
Pomona must address stresses faced by international students during distance learning,Yutong Niu,2021-09-17T03:47:00Z,"pomona college must acknowledge the treatment of international students during the covid-19 pandemic and increase institutional support for them, writes yutong niu po ’23."
"Socializing can wait, your mental health can’t",Shay Suresh,2021-09-17T03:35:00Z,"avoid social burnout from returning to campus by prioritizing your mental health, says shay suresh cm ’24."
EDITORIAL BOARD: Pomona’s disciplinary system is ‘educational.’ Until it isn’t,Editorial Board,2021-09-03T12:59:00Z,pomona college’s recent student affairs decisions show a serious difference between how it talks about discipline and how it really acts.
"EDITORIAL BOARD: Reopening is hard, but students deserve better",Editorial Board,2021-07-03T02:59:00Z,"as the 5cs prepare to return to campus, the editorial board writes, chaos and confusion will be the default unless administrators work to prioritize clarity."
Swan song for the class of 2021,Gabe Abdellatif,2021-05-16T20:55:00Z,"with virtual commencement approaching, guest writer gabe abdellatif po ’21 writes on the collective loss experienced by the class of 2021.  "
Anti-Asian violence is a symptom of much larger oppression,Chris Meng,2021-05-11T19:25:00Z,"modern anti-asian violence like the atlanta spa shootings must be understood in the historical context of oppression and resistance, argues chris meng po ’23."
"If we’re to solve the climate crisis, we can’t reject policies because of who supports them",Ben Reicher,2021-04-30T05:04:00Z,"opinion: climate activists should not reject policy to mitigate global warming based on who supports it, writes ben reicher po ’22. "
The Claremont Autism Center can do better to serve autistic people,Luciénne Reyes,2021-04-30T03:54:00Z,"the claremont autism center should support neurodiversity and autism acceptance to benefit their autistic clients, luciénne reyes pz ’24 writes."
Sleep schedules should not be subject to shame,Mishaal Ijaz,2021-04-30T01:23:00Z,"opinion: we should not shame people based on their sleep schedule, writes mishaal ijaz sc ’24."
Don’t be deceived by the gamification of labor,Nicholas Black,2021-04-29T23:21:00Z,"opinion: workers ought to reject the gamification of their workplaces, as they are often just a way to overwork employees, writes nick black po ’24."
Reflecting on virtual learning reveals moments of growth,Phillip Kong,2021-04-23T04:35:00Z,"opinion: we should reflect on our experience during the pandemic so we can enter a post-pandemic world as better people, writes phillip kong po ’24."
Improving public transportation is crucial to reducing inequality,Rakesh Peddibhotla,2021-04-23T04:12:00Z,"improving our public transportation is very important for reducing inequality, writes rakesh peddibhotla pz ’24."
Everyone has a role to play in making entry-level professional experience more accessible,Kyle Greenspan,2021-04-23T03:52:00Z, opinion: kyle greenspan pz ’23 argues that everyone at the 5cs all have a role to play in making entry-level professional experiences more accessible. 
5C dining halls should be open to all students in the fall,Ryan Lillestrand,2021-04-23T02:10:00Z,"opinion: dining halls across the 5cs should open for everyone during the fall semester, writes ryan lillestrand pz ’23. "
How the Pentagon keeps the United States in endless wars,Carter Moyer,2021-04-23T01:32:00Z,"the military has boxed presidents and the american public into continuing the war in afghanistan, writes carter moyer hm ’24."
"Embrace cancel culture, especially in the case of sexual misconduct",Abby Loiselle,2021-04-16T05:25:00Z,"opinion: cancel culture serves to benefit the marginalized groups of society in the case of sexual misconduct, writes abby loiselle po ‘23."
Any comprehensive climate solution must remember the oceans,Ben Reicher,2021-04-16T02:58:00Z,"opinion: environmental activists must not overlook the significant climate impact of the global ocean economy, argues ben reicher po’22."
Caffeine dependence detracts from college students’ mental and physical health,Mishaal Ijaz,2021-04-16T02:13:00Z,"opinion: we must be more aware that our reliance on coffee is a result of feeling the need to constantly work, writes mishaal ijaz ’24. "
Stop equating youth with progressive policies,Nicholas Black,2021-04-16T02:00:00Z,"opinion: focusing solely on age in elections often results in younger politicians who don’t govern in new ways, says nicholas black po ’24."
CMC professor Eric Helland must apologize for involvement in revisionist article,Luciénne Reyes,2021-04-09T08:10:00Z,"cmc professor eric helland must take accountability for sanctioning a faulty article that denies the experiences of several sexual assault survivors, luciénne reyes pz ’24 writes."
The left must protect free speech in the digital age,Carter Moyer,2021-04-09T03:20:00Z,"the left should care about social media platforms weaponizing misinformation rules to influence public opinion, says carter moyer hm ’24."
Neither our good deeds nor our vaccine cards need to be posted on social media,London Lordos,2021-04-09T02:09:00Z,"it’s possible to be altruistic without posting on social media, especially when receiving the covid-19 vaccine, writes london lordos sc ’24."
The 5Cs can lead the way in grading reform and alter academic incentives for students,Kyle Greenspan,2021-04-09T02:06:00Z,"we should replace the letter grade system with an alternative form of evaluation to address school disengagement, says kyle greenspan pz ’23."
‘Traditional’ is a better alternative to ‘authentic’ when describing ethnic food,Phillip Kong,2021-04-09T02:06:00Z,"we should reconsider how we talk about ethnic cuisines to avoid harmful stereotypes, argues phillip kong po ’24."
American exceptionalism must be reconsidered to advance our country,Rakesh Peddibhotla,2021-04-02T05:58:00Z,"part of moving forward as a country involves rethinking american exceptionalism, writes rakesh peddibhotla pz ’24. "
Biden hasn’t brought compassion to the immigration system,Nicholas Black,2021-04-02T04:51:00Z,"biden isn’t transforming america’s immigration system; instead, we should support more direct aid for immigrants, says nicholas black po ’24."
"For my immigrant family, Russia’s response to Biden’s ‘killer’ comment is all too familiar",Ben Reicher,2021-04-02T04:44:00Z,"russia’s response to president biden calling vladimir putin a “killer” recalls classic tactics used by the soviet union and many other authoritarian regimes to obfuscate criticism of their human rights records, argues ben reicher po ’22."
"A global coffee shortage is on the horizon, and consumers must be the first to act",Ryan Lillestrand,2021-04-02T04:19:00Z,"coffee is in danger of shortage. to preserve the industry, we must think of our coffee more holistically; considering the surprisingly complicated environmental and economic processes that lie behind it, writes ryan lillestrand pz ’23."
We must adopt a restorative approach to conflict by apologizing differently,Stella Favaro,2021-04-02T04:13:00Z,"by approaching apologies through the lens of restorative justice, we place value in growth over retribution, writes stella favaro po ’23. "
Embracing aging is body positivity,Mishaal Ijaz,2021-04-02T04:08:00Z,"aging is a normal bodily process; embracing rather than resisting it is a form of body positivity, writes mishaal ijaz. "
Use of public lands incurs a responsibility to protect them,Kyle Greenspan,2021-03-30T00:00:00Z,"opinion: america’s public lands are under attack. everyone who recreates on public lands has a responsibility to protect them, writes kyle greenspan pz ’23"
Burma coup shows why Biden must reject Great Man foreign policy,Ben Reicher,2021-03-27T18:13:00Z,ben reicher po ’22 argues that america’s traditional foreign policy approach relies too heavily on individual leaders.
Give women in sports the respect they deserve,Abby Loiselle,2021-03-26T05:56:00Z,"opinion: women are not given recognition for accomplishments in sports, as exemplified this week by both the ncaa and individuals at the 5cs. it’s time to give female athletes the respect they deserve, argues abby loiselle po ’23. "
Don’t be more lenient on caregivers who kill their disabled dependents,Luciénne Reyes,2021-03-26T05:29:00Z,"opinion: giving more sympathy to caregivers who commit filicide against people with disabilities is ableist and unfair to the filicide victims, luciénne reyes ’24 writes. "
Progressives should stop co-opting the label of socialism,Sam Hernandez,2021-03-26T03:37:00Z,"opinion: progressives should not label themselves as democratic socialists if they uphold capitalism, says sam hernandez po ’24"
Don’t separate professional sports and politics,Phillip Kong,2021-03-26T03:25:00Z,"opinion: fans should not separate politics and professional sports because doing so leads to stagnancy in social and political change, writes phillip kong po ’24."
We can pass social security for children today,Carter Moyer,2021-03-26T01:56:00Z,"opinion: a universal child benefit has a very real chance of being enacted and helping millions of children out of poverty, but only if we do it right and do it now, writes carter moyer hm ’24."
The 5Cs should implement mid-semester course evaluations for all courses,London Lordos,2021-03-26T01:54:00Z,"5c students and staff would benefit from undergoing optional course evaluations during the middle of the semester, writes london lordos sc ’24."
"In a time of crisis, lack of support for AAPI students at CMC is clear",Jayson Yasukochi,2021-03-20T23:07:00Z,"cmc must provide aapi students with institutional support and not place the burden on students, says guest writer jayson yasukochi cm ’22."
5Cs should prioritize creation of an intercollegiate Native American/Indigenous Studies department,Abby Loiselle,2021-03-19T06:50:00Z,"it is critical that 5c students and staff focus on creating a department of native american/indigenous studies, writes abby loiselle po ’23."
Texas blackouts display a problem California is all too familiar with —  just look at the housing crisis,Ben Reicher,2021-03-19T06:48:00Z,"californians should not be quick to criticize texas politicians in times of crisis, as they face similar issues, writes ben reicher po ’22."
"‘Ally’ is a verb, not an identity",Gerardo Hurtado,2021-03-19T03:28:00Z,"allyship is not an identity, but an active process undertaken by people allying with marginalized communities, says gerardo hurtado po ’24."
Congress must pass the For the People Act to expand democracy,Rakesh Peddibhotla,2021-03-19T03:19:00Z,"opinion: the for the people act represents an expansion of voter rights. unless we mobilize, it will be blocked, writes rakesh peddibhotla pz ‘24."
The benefit of a leave of absence outweighs the stigma,Stella Favaro,2021-03-19T01:29:00Z,"we must break the stigmas around leave of absences as many students could benefit from taking one, writes stella favaro po ’23."
"Buy what you need, wear what you buy",Mishaal Ijaz,2021-03-19T01:25:00Z,"it is imperative that we be aware of our habits of over-consumption, and wear what we buy, to combat fast fashion, writes mishaal ijaz sc ’24"
"Returning to campus will be more challenging than we think, but we can do it together",Ryan Lillestrand,2021-03-19T01:25:00Z,"the return to campus in the fall promises to be both exciting and challenging. as we look ahead, the process of adapting back to life on campus cannot be left as an afterthought. by setting accurate expectations for what the fall semester will look like, and preparing accordingly, we can collectively create an environment that is both understanding of the challenges ahead and well-equipped to face them together, writes ryan lillestrand pz ’23."
How to prioritize community needs in your study abroad site,Kyle Greenspan,2021-03-05T06:44:00Z,"based on his international experience, kyle greenspan pz ’23 offers suggestions on how to respect the communities students visit while abroad. "
"Instead of body positivity, embrace body neutrality",Abby Loiselle,2021-03-05T06:43:00Z,"the body positivity movement turned from helpful to harmful. instead, we should start to embrace body neutrality, writes abby loiselle po ’23"
American media is manufacturing your political consent,Carter Moyer,2021-03-05T06:41:00Z,"news organizations restrict the scope of political debate by portraying themselves as “objective”, writes carter moyer hm ’24. "
It’s time to stop being afraid of partisanship,Sam Hernandez,2021-03-05T06:33:00Z,"striving for unity and bipartisanship can undermine the productivity of the party in power, writes sam hernandez po ’24."
Liberals should rethink red state biases,London Lordos,2021-03-05T04:41:00Z,"it is hypocritical for liberals to treat victims of climate change with condemnation in red states, writes london lordos sc ’23. "
Pomona should recreate sponsor groups for sophomores in fall 2021,Phillip Kong,2021-03-05T03:01:00Z,"pomona college should recreate sponsor groups for sophomores if we return to campus in the fall to provide students with the opportunity to form a community, argues phillip kong po ’24."
"Mead Hall lost some of its murals, and students should have been notified beforehand",Ryan Lillestrand,2021-02-26T08:35:00Z,"students should have been consulted prior to mead hall’s murals being painted over, writes ryan lillestrand pz ’23."
Disillusioned voters should turn to mutual aid,Gerardo Hurtado,2021-02-26T08:29:00Z,"voting isn’t the only way to spur social change; those disillusioned with politics should turn to mutual aid, writes gerardo hurtado po ‘24."
Guantanamo Bay’s detention camp must be closed quickly,Rakesh Peddibhotla,2021-02-26T07:54:00Z,"closing the guantanamo bay detention camp represents respect for basic freedom and human rights in america, writes rakesh peddibhotla pz ‘24. "
Don’t fall for the ‘Never Trump’ Republicans,Nicholas Black,2021-02-26T05:09:00Z,"we must not put ‘never trump’ politicians on a pedestal simply for admonishing former president donald trump, writes nick black, po ’24"
Feminists are not the problem,Katherine O'Neill,2021-02-26T04:22:00Z,"it is not the duty of feminists to educate men. men should seek out education in pursuit of equality, writes katherine o’neill cm ’21."
Make DISCOVR an official mentor program for students with disabilities at Pomona,Luciénne Reyes,2021-02-26T03:55:00Z,"making discovr an institutionally backed program will provide necessary support for students with disabilities, writes luciénne reyes pz ’24."
Feminists need to focus on educating men,Margot Rosenblatt,2021-02-19T03:48:00Z,"feminists need to spend much more effort on educating men — it’s the only way we’ll defeat sexism, argues margot rosenblatt sc ’23. "
I’m in the 1 percent. Let’s be honest,Carly Dennis,2021-02-19T02:47:00Z,"in order to combat wealth inequality, the upper 1%, particularly 5c students, must talk about wealth openly and honestly."
We have a safe vaccine. Let’s make sure everyone gets the shot,Benjamin Sievers,2021-01-24T01:12:00Z,"more people should be at least partially protected by one dose of the covid-19 vaccine, argues guest writer benjamin sievers pz ‘22 of some countries’ decisions to delay second doses."
"EDITORIAL BOARD: CGU, revoke your statement legitimizing election fraud",Editorial Board,2021-01-12T23:49:00Z,tsl’s editorial board calls on claremont graduate university to revoke its jan. 7 statement that qualified senators’ and representatives’ recent claims of election fraud as “legitimate points.”
Don’t come back to Claremont this spring,Donnie Denome and Becca Zimmerman,2020-12-20T20:09:00Z,"returning to claremont for the spring semester is reckless and selfish, argue donnie denome cg ’21 and becca zimmerman pz ’21."
The 2020 election was a wake-up call. Democrats must embrace digital strategies,Agnes Mok,2020-12-15T18:20:00Z,"democrats need to embrace digital campaigning instead of spending thousands on traditional strategies, says guest writer agnes mok po ’21."
The urgent need for rapid COVID-19 tests in the hands of people,Benjamin Sievers,2020-12-12T20:32:00Z,benjamin sievers pz ’22 argues that covid-19 testing needs to be made easily accessible to the people as to lessen the spread of the virus. 
Claremont is not your personal playground,Uma Nagarajan-Swenson,2020-11-20T21:57:00Z,"students that recently moved to claremont must respect their new communities by preventing the spread of covid, argues uma nagarajan-swenson sc ’22."
Don’t spend your life running toward an imaginary finish line,Ryan Lillestrand,2020-11-20T06:25:00Z,"we often get so caught up in our goals that we neglect to devote necessary time to reflect and relax, writes ryan lillestrand pz ’23."
Gene editing is not the villain,Leah Voudouri,2020-11-20T06:24:00Z,"gene editing can improve our lives in multiple ways if used under strict regulation, argues leah voudouri po ’24."
Abstract art and realism are valid and important forms of visual expression,Jadyn Lee,2020-11-20T05:52:00Z,"discounting different art styles creates stereotypes that are harmful to the art community, says jadyn lee sc ’24."
Current events cannot be understood through narratives alone,Phillip Kong,2020-11-20T05:48:00Z,"one can learn about events more effectively by combining personal narratives and objective sources, argues phillip kong po ‘24."
"Climate change is the fault of corporations, but changing personal consumption still can help",Ben Reicher,2020-11-20T04:00:00Z,"climate change is the fault of corporations, but changing personal consumption still can help combat the effects, argues ben reicher po ’22."
We don’t need bipartisanship; we need unity rooted in liberation,Aarushi Phalke,2020-11-13T05:40:00Z,"we need to build unity around progressive policies and not just settle for bipartisanship, says aarushi phalke po ’24."
The Red Ribbon Campaign needs serious reform,Luciénne Reyes,2020-11-13T05:12:00Z,"the red ribbon campaign’s silence on racial issues and support of problematic figures and organizations fail to effectively tackle the problem of drug abuse, argues luciénne reyes pz ‘24."
Apocalyptic narratives of climate change harm the movement to fight it,Ben Reicher,2020-11-13T04:21:00Z,"apocalyptic narratives ultimately hinder hope and progress in the fight against climate change, argues ben reicher po ’22."
